Constituency,q,r,Electorate,Population
Aldershot,-3,-11,72430,106193
Aldridge-Brownhills,-3,-1,60215,77532
Altrincham and Sale West,-7,3,71511,101457
Amber Valley,0,2,69510,90132
Arundel and South Downs,0,-15,77242,100501
Ashfield,1,2,77091,106495
Ashford,12,-13,85177,122178
Ashton-under-Lyne,-5,6,68343,92289
Aylesbury,2,-6,80315,121812
Banbury,1,-5,86420,122939
Barking,8,-9,73977,139764
Barnsley Central,-2,6,64534,90319
Barnsley East,-1,6,69135,94604
Barrow and Furness,-5,13,68338,86806
Basildon and Billericay,8,-5,66347,95530
Basingstoke,-3,-10,79665,115046
Bassetlaw,2,4,76796,106994
Bath,-6,-9,63084,95024
Batley and Spen,-1,8,78373,111539
Battersea,4,-12,76111,115715
Beaconsfield,-1,-8,74726,102421
Beckenham,7,-14,67439,92767
Bedford,4,-3,69311,106341
Bermondsey and Old Southwark,5,-11,83298,144175
Berwick-upon-Tweed,-4,17,56969,75542
Bethnal Green and Bow,7,-10,82727,146820
Beverley and Holderness,4,8,80805,100257
Bexhill and Battle,10,-15,78796,104993
Bexleyheath and Crayford,9,-10,64828,93923
Birkenhead,-10,2,62410,90087
"Birmingham, Edgbaston",-4,-3,65591,105317
"Birmingham, Erdington",-2,-2,65128,103188
"Birmingham, Hall Green",-3,-4,76330,120130
"Birmingham, Hodge Hill",-1,-2,75302,129262
"Birmingham, Ladywood",-3,-3,68128,146279
"Birmingham, Northfield",-4,-4,71428,103704
"Birmingham, Perry Barr",-3,-2,69943,112420
"Birmingham, Selly Oak",-3,-5,75092,108848
"Birmingham, Yardley",-2,-3,72146,113069
Bishop Auckland,-2,12,66070,88794
Blackburn,-6,10,73260,109163
Blackley and Broughton,-6,6,71913,121759
Blackpool North and Cleveleys,-6,12,62468,83152
Blackpool South,-8,11,57411,79725
Blaydon,-3,14,67901,88273
Blyth Valley,-2,17,61247,83985
Bognor Regis and Littlehampton,2,-15,72995,106496
Bolsover,0,3,71979,98531
Bolton North East,-7,7,67895,97992
Bolton South East,-7,6,69687,105872
Bolton West,-8,7,72719,96124
Bootle,-10,7,70145,99224
Boston and Skegness,4,5,67064,106272
Bosworth,0,-1,79738,104589
Bournemouth East,-8,-13,72275,107483
Bournemouth West,-8,-14,72082,105394
Bracknell,-2,-10,81271,111021
Bradford East,-2,9,66121,118123
