name,ons_code,mp,signature_count
Edinburgh East,S14000022,Tommy Sheppard MP,19035
Edinburgh North and Leith,S14000023,Deidre Brock MP,27400
Edinburgh South,S14000024,Ian Murray MP,20145
Edinburgh South West,S14000025,Joanna Cherry QC MP,17409
Edinburgh West,S14000026,Christine Jardine MP,14796
Banff and Buchan,S14000007,David Duguid MP,3927
Falkirk,S14000028,John McNally MP,8814
Glasgow Central,S14000029,Alison Thewliss MP,14252
Glasgow East,S14000030,David Linden MP,5061
Glasgow North,S14000031,Patrick Grady MP,14771
Glasgow North East,S14000032,Mr Paul Sweeney MP,5971
Glasgow North West,S14000033,Carol Monaghan MP,10688
Glasgow South,S14000034,Stewart Malcolm McDonald MP,13396
Glasgow South West,S14000035,Chris Stephens MP,6034
Glenrothes,S14000036,Peter Grant MP,4576
Gordon,S14000037,Colin Clark MP,9109
Aberdeen North,S14000001,Kirsty Blackman MP,9063
Inverclyde,S14000038,Ronnie Cowan MP,6114
"Inverness, Nairn, Badenoch and Strathspey",S14000039,Drew Hendry MP,10283
Kilmarnock and Loudoun,S14000040,Alan Brown MP,6412
Kirkcaldy and Cowdenbeath,S14000041,Lesley Laird MP,7250
Lanark and Hamilton East,S14000042,Angela Crawley MP,7739
Linlithgow and East Falkirk,S14000043,Martyn Day MP,9990
Livingston,S14000044,Hannah Bardell MP,9405
Midlothian,S14000045,Danielle Rowley MP,9292
Aberdeen South,S14000002,Ross Thomson MP,10773
Moray,S14000046,Douglas Ross MP,6241
Motherwell and Wishaw,S14000047,Marion Fellows MP,5667
Na h-Eileanan an Iar,S14000027,Angus Brendan MacNeil MP,2343
North Ayrshire and Arran,S14000048,Patricia Gibson MP,6705
North East Fife,S14000049,Stephen Gethins MP,10333
"Berwickshire, Roxburgh and Selkirk",S14000008,John Lamont MP,8100
Ochil and South Perthshire,S14000050,Luke Graham MP,9818
Orkney and Shetland,S14000051,Rt Hon Alistair Carmichael MP,4462
Paisley and Renfrewshire North,S14000052,Gavin Newlands MP,8557
Paisley and Renfrewshire South,S14000053,Mhairi Black MP,7595
Perth and North Perthshire,S14000054,Pete Wishart MP,9543
"Ross, Skye and Lochaber",S14000055,Rt Hon Ian Blackford MP,8846
Rutherglen and Hamilton West,S14000056,Ged Killen MP,8605
Stirling,S14000057,Stephen Kerr MP,12311
West Aberdeenshire and Kincardine,S14000058,Andrew Bowie MP,10517
