name,ons_code,mp,signature_count
Edinburgh East,S14000022,Tommy Sheppard MP,18861
Edinburgh North and Leith,S14000023,Deidre Brock MP,27216
Edinburgh South,S14000024,Ian Murray MP,19999
Edinburgh South West,S14000025,Joanna Cherry QC MP,17246
Edinburgh West,S14000026,Christine Jardine MP,14670
Banff and Buchan,S14000007,David Duguid MP,3887
Falkirk,S14000028,John McNally MP,8737
Glasgow Central,S14000029,Alison Thewliss MP,14162
Glasgow East,S14000030,David Linden MP,4999
Glasgow North,S14000031,Patrick Grady MP,14661
Glasgow North East,S14000032,Mr Paul Sweeney MP,5917
Glasgow North West,S14000033,Carol Monaghan MP,10607
Glasgow South,S14000034,Stewart Malcolm McDonald MP,13273
Glasgow South West,S14000035,Chris Stephens MP,5964
Glenrothes,S14000036,Peter Grant MP,4526
Gordon,S14000037,Colin Clark MP,9025
Aberdeen North,S14000001,Kirsty Blackman MP,8965
Inverclyde,S14000038,Ronnie Cowan MP,6056
"Inverness, Nairn, Badenoch and Strathspey",S14000039,Drew Hendry MP,10183
Kilmarnock and Loudoun,S14000040,Alan Brown MP,6359
Kirkcaldy and Cowdenbeath,S14000041,Lesley Laird MP,7180
Lanark and Hamilton East,S14000042,Angela Crawley MP,7652
Linlithgow and East Falkirk,S14000043,Martyn Day MP,9901
Livingston,S14000044,Hannah Bardell MP,9330
Midlothian,S14000045,Danielle Rowley MP,9220
Aberdeen South,S14000002,Ross Thomson MP,10680
Moray,S14000046,Douglas Ross MP,6187
Motherwell and Wishaw,S14000047,Marion Fellows MP,5614
Na h-Eileanan an Iar,S14000027,Angus Brendan MacNeil MP,2319
North Ayrshire and Arran,S14000048,Patricia Gibson MP,6641
North East Fife,S14000049,Stephen Gethins MP,10255
"Berwickshire, Roxburgh and Selkirk",S14000008,John Lamont MP,8034
Ochil and South Perthshire,S14000050,Luke Graham MP,9727
Orkney and Shetland,S14000051,Rt Hon Alistair Carmichael MP,4420
Paisley and Renfrewshire North,S14000052,Gavin Newlands MP,8500
Paisley and Renfrewshire South,S14000053,Mhairi Black MP,7523
Perth and North Perthshire,S14000054,Pete Wishart MP,9453
"Ross, Skye and Lochaber",S14000055,Rt Hon Ian Blackford MP,8779
Rutherglen and Hamilton West,S14000056,Ged Killen MP,8537
Stirling,S14000057,Stephen Kerr MP,12206
West Aberdeenshire and Kincardine,S14000058,Andrew Bowie MP,10445
West Dunbartonshire,S14000059,Martin Docherty-Hughes MP,6585
Aberavon,W07000049,Stephen Kinnock MP,2954
Aberconwy,W07000058,Guto Bebb MP,4567
Aldershot,E14000530,Leo Docherty MP,7295
Aldridge-Brownhills,E14000531,Wendy Morton MP,2912
Altrincham and Sale West,E14000532,Sir Graham Brady MP,12896
Alyn and Deeside,W07000043,Rt Hon Mark Tami MP,5198
Amber Valley,E14000533,Nigel Mills MP,3971
Arfon,W07000057,Hywel Williams MP,6919
Arundel and South Downs,E14000534,Rt Hon Nick Herbert MP,12328
Ashfield,E14000535,Gloria De Piero MP,3303
Ashford,E14000536,Rt Hon Damian Green MP,8720
Ashton-under-Lyne,E14000537,Angela Rayner MP,3836
Aylesbury,E14000538,Rt Hon David Lidington MP,9725
Banbury,E14000539,Victoria Prentis MP,11908
Barking,E14000540,Rt Hon Dame Margaret Hodge MP,5404
Barnsley Central,E14000541,Dan Jarvis MP,3021
Barnsley East,E14000542,Stephanie Peacock MP,2353
Barrow and Furness,E14000543,John Woodcock MP,4544
Basildon and Billericay,E14000544,Mr John Baron MP,4981
Basingstoke,E14000545,Rt Hon Maria Miller MP,9325
Bassetlaw,E14000546,John Mann MP,3939
Bath,E14000547,Wera Hobhouse MP,17841
Batley and Spen,E14000548,Tracy Brabin MP,4028
Battersea,E14000549,Marsha De Cordova MP,24002
Beaconsfield,E14000550,Rt Hon Dominic Grieve QC MP,11360
Beckenham,E14000551,Bob Stewart MP,11756
Bedford,E14000552,Mohammad Yasin MP,7553
Belfast East,N06000001,Gavin Robinson MP,7332
Belfast North,N06000002,Rt Hon Nigel Dodds MP,6646
Belfast South,N06000003,Emma Little Pengelly MP,15485
Belfast West,N06000004,Paul Maskey MP,5613
Bermondsey and Old Southwark,E14000553,Neil Coyle MP,24606
Berwick-upon-Tweed,E14000554,Anne-Marie Trevelyan MP,5163
Bethnal Green and Bow,E14000555,Rushanara Ali MP,23937
Beverley and Holderness,E14000556,Graham Stuart MP,5914
Bexhill and Battle,E14000557,Huw Merriman MP,8777
Bexleyheath and Crayford,E14000558,Rt Hon Sir David Evennett MP,5094
Birkenhead,E14000559,Rt Hon Frank Field MP,5797
"Birmingham, Edgbaston",E14000560,Preet Kaur Gill MP,8308
"Birmingham, Erdington",E14000561,Jack Dromey MP,3445
"Birmingham, Hall Green",E14000562,Mr Roger Godsiff MP,8883
"Birmingham, Hodge Hill",E14000563,Rt Hon Liam Byrne MP,2505
"Birmingham, Ladywood",E14000564,Shabana Mahmood MP,6951
"Birmingham, Northfield",E14000565,Richard Burden MP,5076
"Birmingham, Perry Barr",E14000566,Mr Khalid Mahmood MP,3221
"Birmingham, Selly Oak",E14000567,Steve McCabe MP,9887
"Birmingham, Yardley",E14000568,Jess Phillips MP,3705
Bishop Auckland,E14000569,Helen Goodman MP,3820
Blackburn,E14000570,Kate Hollern MP,3086
Blackley and Broughton,E14000571,Graham Stringer MP,5370
Blackpool North and Cleveleys,E14000572,Paul Maynard MP,3102
Blackpool South,E14000573,Gordon Marsden MP,2557
Blaenau Gwent,W07000072,Nick Smith MP,2174
Blaydon,E14000574,Liz Twist MP,5739
Blyth Valley,E14000575,Mr Ronnie Campbell MP,3847
Bognor Regis and Littlehampton,E14000576,Rt Hon Nick Gibb MP,5958
Bolsover,E14000577,Mr Dennis Skinner MP,3380
Bolton North East,E14000578,Sir David Crausby MP,4110
Bolton South East,E14000579,Yasmin Qureshi MP,2986
Bolton West,E14000580,Chris Green MP,5479
Bootle,E14000581,Peter Dowd MP,6706
Boston and Skegness,E14000582,Matt Warman MP,2635
Bosworth,E14000583,David Tredinnick MP,6183
Bournemouth East,E14000584,Rt Hon Tobias Ellwood MP,9902
Bournemouth West,E14000585,Conor Burns MP,8317
Bracknell,E14000586,Dr Phillip Lee MP,9544
Bradford East,E14000587,Imran Hussain MP,3256
Bradford South,E14000588,Judith Cummins MP,2899
Bradford West,E14000589,Naz Shah MP,3476
Braintree,E14000590,James Cleverly MP,5920
Brecon and Radnorshire,W07000068,Chris Davies MP,5944
Brent Central,E14000591,Dawn Butler MP,12808
Brent North,E14000592,Barry Gardiner MP,8154
Brentford and Isleworth,E14000593,Ruth Cadbury MP,19163
Brentwood and Ongar,E14000594,Alex Burghart MP,6954
Bridgend,W07000073,Mrs Madeleine Moon MP,5270
Bridgwater and West Somerset,E14000595,Mr Ian Liddell-Grainger MP,6540
Brigg and Goole,E14000596,Andrew Percy MP,3298
"Brighton, Kemptown",E14000597,Lloyd Russell-Moyle MP,14600
"Brighton, Pavilion",E14000598,Caroline Lucas MP,28347
Bristol East,E14000599,Kerry McCarthy MP,12350
Bristol North West,E14000600,Darren Jones MP,14923
Bristol South,E14000601,Karin Smyth MP,15550
Bristol West,E14000602,Thangam Debbonaire MP,36129
Broadland,E14000603,Rt Hon Keith Simpson MP,7519
Bromley and Chislehurst,E14000604,Robert Neill MP,10695
Bromsgrove,E14000605,Rt Hon Sajid Javid MP,7440
Broxbourne,E14000606,Mr Charles Walker MP,5340
Broxtowe,E14000607,Rt Hon Anna Soubry MP,9468
Buckingham,E14000608,Rt Hon John Bercow MP,12169
Burnley,E14000609,Julie Cooper MP,2658
Burton,E14000610,Andrew Griffiths MP,4747
Bury North,E14000611,James Frith MP,5715
Bury South,E14000612,Mr Ivan Lewis MP,7157
Bury St Edmunds,E14000613,Jo Churchill MP,9412
Caerphilly,W07000076,Wayne David MP,4728
Calder Valley,E14000614,Craig Whittaker MP,9958
Camberwell and Peckham,E14000615,Rt Hon Harriet Harman QC MP,21920
Camborne and Redruth,E14000616,George Eustice MP,6855
Cambridge,E14000617,Daniel Zeichner MP,27227
Cannock Chase,E14000618,Amanda Milling MP,3084
Canterbury,E14000619,Rosie Duffield MP,14262
Cardiff Central,W07000050,Jo Stevens MP,11557
Cardiff North,W07000051,Anna McMorrin MP,11494
Cardiff South and Penarth,W07000080,Stephen Doughty MP,11222
Cardiff West,W07000079,Kevin Brennan MP,11294
Carlisle,E14000620,John Stevenson MP,4193
Carmarthen East and Dinefwr,W07000067,Jonathan Edwards MP,5029
Carmarthen West and South Pembrokeshire,W07000066,Simon Hart MP,4924
Carshalton and Wallington,E14000621,Rt Hon Tom Brake MP,8471
Castle Point,E14000622,Rebecca Harris MP,3082
Central Devon,E14000623,Rt Hon Mel Stride MP,11385
Central Suffolk and North Ipswich,E14000624,Dr Dan Poulter MP,8185
Ceredigion,W07000064,Ben Lake MP,7777
Charnwood,E14000625,Edward Argar MP,6269
Chatham and Aylesford,E14000626,Tracey Crouch MP,4495
Cheadle,E14000627,Mary Robinson MP,10695
Chelmsford,E14000628,Vicky Ford MP,9526
Chelsea and Fulham,E14000629,Rt Hon Greg Hands MP,20118
Cheltenham,E14000630,Alex Chalk MP,13797
Chesham and Amersham,E14000631,Rt Hon Dame Cheryl Gillan MP,12980
Chesterfield,E14000632,Toby Perkins MP,5085
Chichester,E14000633,Gillian Keegan MP,11975
Chingford and Woodford Green,E14000634,Rt Hon Iain Duncan Smith MP,9264
Chippenham,E14000635,Michelle Donelan MP,10719
Chipping Barnet,E14000636,Rt Hon Theresa Villiers MP,15994
Chorley,E14000637,Rt Hon Sir Lindsay Hoyle MP,6420
Christchurch,E14000638,Sir Christopher Chope MP,6326
Cities of London and Westminster,E14000639,Rt Hon Mark Field MP,24235
City of Chester,E14000640,Christian Matheson MP,11207
City of Durham,E14000641,Dr Roberta Blackman-Woods MP,8334
Clacton,E14000642,Giles Watling MP,2659
Cleethorpes,E14000643,Martin Vickers MP,3168
Clwyd South,W07000062,Susan Elan Jones MP,4017
Clwyd West,W07000059,Rt Hon David Jones MP,5313
